municipality,year,url,kind,pool,prior_status
Huntington,2017,https://www.huntingtonma.us/Reports/2017%20Huntington%20Annual%20Report.pdf,atr,nodes,ERROR
Huntington,2018,https://www.huntingtonma.us/Reports/2018_Huntington_Annual_Town_Report-web.pdf,atr,nodes,ERROR
Huntington,2019,https://www.huntingtonma.us/Reports/2019_Huntington_Annual_Town_Report-web.pdf,atr,nodes,ERROR
Huntington,2020,https://huntingtonma.us/Reports/2020_Huntington_Annual_Town_Report-web.pdf,atr,nodes,ERROR
Pembroke,2007,http://www.pembroke-ma.gov/sites/pembrokema/files/uploads/2007_annual_report.pdf,atr,nodes,ERROR
Pembroke,2008,http://pembroke-ma.gov/pdfs%20and%20forms/annualreport2008.pdf,atr,nodes,ERROR
Pembroke,2008,http://www.pembroke-ma.gov/sites/pembrokema/files/uploads/2008_annual_report.pdf,atr,nodes,ERROR
Pembroke,2009,http://www.pembroke-ma.gov/sites/pembrokema/files/uploads/2009_annual_report.pdf,atr,nodes,ERROR
Pembroke,2010,http://www.pembroke-ma.gov/sites/pembrokema/files/uploads/2010_annual_report.pdf,atr,nodes,ERROR
Pembroke,2010,http://www.pembroke-ma.gov/sites/pembrokema/files/uploads/town_manager_by-law_article_2010_town_report1.pdf,atr,nodes,ERROR
Pembroke,2011,http://www.pembroke-ma.gov/sites/pembrokema/files/uploads/2011_annual_report.pdf,atr,nodes,ERROR
Pembroke,2012,http://www.pembroke-ma.gov/sites/pembrokema/files/uploads/2012_annual_report.pdf,atr,nodes,ERROR
Pembroke,2013,http://www.pembroke-ma.gov/sites/pembrokema/files/uploads/2013_annual_report.pdf,atr,nodes,ERROR
Pembroke,2014,http://www.pembroke-ma.gov/sites/pembrokema/files/uploads/2014_annual_town_report.pdf,atr,nodes,ERROR
