municipality,year,url,kind,pool,pages
Dartmouth,2016,https://www.dartmouthma.gov/DocumentCenter/View/351/2016-April-05-Annual-Town-Election-Official-Results-PDF,result,catalog,15
Dartmouth,2017,https://dartmouthma.gov/DocumentCenter/View/350/2017-April-04-Annual-Town-Election-Official-Results-PDF,result,catalog,13
Dartmouth,2017,https://www.dartmouthma.gov/DocumentCenter/View/350/2017-April-04-Annual-Town-Election-Official-Results-PDF,result,catalog,13
Dartmouth,2018,https://dartmouthma.gov/DocumentCenter/View/347/2018-April-03-Annual-Town-Election-Official-Results-PDF,result,catalog,13
Dartmouth,2018,https://www.dartmouthma.gov/DocumentCenter/View/347/2018-April-03-Annual-Town-Election-Official-Results-PDF,result,catalog,13
Dartmouth,2019,https://dartmouthma.gov/DocumentCenter/View/346/2019-April-02-Annual-Town-Election-Official-Results-PDF,result,catalog,12
Dartmouth,2019,https://www.dartmouthma.gov/DocumentCenter/View/346/2019-April-02-Annual-Town-Election-Official-Results-PDF,result,catalog,12
Dartmouth,2020,https://dartmouthma.gov/DocumentCenter/View/343/2020-June-23-Annual-Town-Election-Official-Results-PDF,result,catalog,2
Natick,2018,http://www.natickma.gov:80/DocumentCenter/View/6442/Unofficial-Election-results-for-2018-Annual-Town-Election,result,catalog,4
Natick,2018,http://www.natickma.gov:80/DocumentCenter/View/6442/Unofficial-Election-results-for-2018-Annual-Town-Election?bidId=,result,catalog,4
Weston,2020,https://weston.org/DocumentCenter/View/30456,result,catalog,5
Kingston,2020,https://kingstonma.gov/DocumentCenter/View/632/2020-Special-Recall-Election-Results-06-27-2020-PDF,result,catalog,1
Oxford,2020,https://oxfordma.us/DocumentCenter/View/2371/June-20-2020---Official-Annual-Town-Election-Results,result,catalog,1
Sterling,2004,https://sterling-ma.gov/DocumentCenter/View/652/2004-05-24-Annual-Town-Election-Results-PDF,result,catalog,2
Sterling,2005,https://sterling-ma.gov/DocumentCenter/View/656/2005-05-23-Annual-Town-Election-Results-PDF,result,catalog,4
Sterling,2007,https://sterling-ma.gov/DocumentCenter/View/634/2007-Annual-Town-Election-Results-PDF,result,catalog,3
Sterling,2008,https://sterling-ma.gov/DocumentCenter/View/635/2008-05-19-Annual-Town-Election-Results-PDF,result,catalog,4
Sterling,2009,https://sterling-ma.gov/DocumentCenter/View/637/2009-05-18-Annual-Town-Election-Results-PDF,result,catalog,4
Sterling,2011,https://sterling-ma.gov/DocumentCenter/View/645/2011-05-23-Town-Election-Results-PDF1,result,catalog,2
Sterling,2011,https://www.sterling-ma.gov/DocumentCenter/View/1188,result,catalog,2
Sterling,2018,https://sterling-ma.gov/DocumentCenter/View/597/2018-May-14-Annual-Town-Election-Results-PDF,result,catalog,1
Attleboro,2001,https://cityofattleboro.us/DocumentCenter/View/13032/Results---Citywide,result,catalog,1
Attleboro,2005,https://cityofattleboro.us/DocumentCenter/View/12986/Results---Citywide,result,catalog,4
Attleboro,2005,https://cityofattleboro.us/DocumentCenter/View/12987/Results---Citywide-and-by-precinct,result,catalog,13
Attleboro,2007,https://cityofattleboro.us/DocumentCenter/View/12983/Results---Citywide,result,catalog,3
Attleboro,2009,https://cityofattleboro.us/DocumentCenter/View/12978/Results---All-Wards,result,catalog,3
Attleboro,2010,https://cityofattleboro.us/DocumentCenter/View/12973/Results,result,catalog,3
Attleboro,2011,https://cityofattleboro.us/DocumentCenter/View/12968/Results---Citywide,result,catalog,3
Attleboro,2011,https://cityofattleboro.us/DocumentCenter/View/12970/Results,result,catalog,3
Attleboro,2013,https://cityofattleboro.us/DocumentCenter/View/12960/Results---Citywide,result,catalog,3
Attleboro,2015,https://cityofattleboro.us/DocumentCenter/View/12905/Results---Citywide,result,catalog,3
Attleboro,2017,https://cityofattleboro.us/DocumentCenter/View/12899/Results-Citywide,result,catalog,6
Attleboro,2018,https://www.cityofattleboro.us/DocumentCenter/View/2972,result,catalog,7
Attleboro,2019,https://cityofattleboro.us/DocumentCenter/View/12893/Results---Citywide,result,catalog,18
Attleboro,2019,https://www.cityofattleboro.us/DocumentCenter/View/3609,result,catalog,1
Methuen,2011,https://cityofmethuen.net/DocumentCenter/View/651/2011-Preliminary-Municipal-Election-Certified-Results-PDF,result,catalog,1
Methuen,2011,https://cityofmethuen.net/DocumentCenter/View/652/2011-Recount-Tally-PDF,result,catalog,1
Methuen,2017,https://cityofmethuen.net/DocumentCenter/View/629/2017-Certified-Municipal-Election-Results-PDF,result,catalog,2
Methuen,2017,https://cityofmethuen.net/DocumentCenter/View/630/2017-East-District-Certified-Preliminary-Election-Results-PDF,result,catalog,1
Cambridge,2001,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2001officialcitycouncilresults.pdf,result,catalog,2
Cambridge,2003,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2003ballotquestion.pdf,result,catalog,1
Cambridge,2003,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2003citycouncil.pdf,result,catalog,2
Cambridge,2003,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2003schoolcommitteeresults.pdf,result,catalog,2
Cambridge,2005,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2005officialmunicipalelectionresults.pdf,result,catalog,4
Cambridge,2007,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2007officialmunicipalelectionresults.pdf,result,catalog,4
Cambridge,2008,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2008wardcommitteedem.pdf,result,catalog,11
Cambridge,2008,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2008wardcommitteerepub.pdf,result,catalog,7
Cambridge,2009,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2009SchoolCommittee_results.pdf,result,catalog,2
Cambridge,2009,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2009citycouncilresults.pdf,result,catalog,2
Cambridge,2009,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2009dec8officialresults.pdf,result,catalog,1
Cambridge,2010,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2010_April13_primary_results.pdf,result,catalog,3
Cambridge,2011,https://www.cambridgema.gov/-/media/Files/electioncommission/2011municipalelection/citycouncilofficialresults.pdf,result,catalog,1
Cambridge,2011,https://www.cambridgema.gov/-/media/Files/electioncommission/2011municipalelection/schoolcommitteeofficialresults.pdf,result,catalog,1
Cambridge,2011,https://www.cambridgema.gov/-/media/Files/publicworksdepartment/stormwatermanagement/csoannualreports/2011annualreport_year3.pdf,atr,nodes,84
Cambridge,2012,https://www.cambridgema.gov/-/media/Files/publicworksdepartment/stormwatermanagement/csoannualreports/2012annualndpes.pdf,atr,nodes,85
Cambridge,2013,https://www.cambridgema.gov/-/media/Files/electioncommission/2013municipalelectionrecount/2013municipalelectionrecountresults.pdf,result,catalog,2
Cambridge,2013,https://www.cambridgema.gov/-/media/Files/publicworksdepartment/stormwatermanagement/csoannualreports/2013csoannualreport.pdf,atr,nodes,70
Cambridge,2019,https://www.cambridgema.gov/-/media/Files/publicworksdepartment/stormwatermanagement/annualreports/annualreport2019/outfallscreening_62819samplingresults.pdf,atr,nodes,1
Cambridge,2020,https://www.cambridgema.gov/-/media/Files/publicworksdepartment/stormwatermanagement/annualreports/annualreportsept2020/epainspectionreport102919.pdf,atr,nodes,31
