doc_id,town,town_norm,community_type,governing_body,board,doctype,year,verdict,url,status
4735d10b70,Bourne,bourne,MBTA adjacent,Select Board,zoning,,,CONFIRMED,https://www.bourne-ma.gov/DocumentCenter/View/900/Proposed-3A-Multi-family-Zoning-Town-Meeting-Article,OK
6f75f22e9c,Bourne,bourne,MBTA adjacent,Select Board,zoning,,,CONFIRMED,https://www.bourne-ma.gov/1961/MBTA-Multi-Family-Zoning,OK
9dcfafb7a4,Bourne,bourne,MBTA adjacent,Select Board,zoning,,,CONFIRMED,https://www.bourne-ma.gov/2227/MBTA-Multi-Family-Zoning,OK
edbee5af47,Boxborough,boxborough,MBTA adjacent,Select Board,,,,CONFIRMED,https://boxborough-ma.gov/DocumentCenter/View/2137/Draft-Guidelines-for-MBTA-Communitiespdf,OK
502b2f228e,Boxborough,boxborough,MBTA adjacent,Select Board,,,,CONFIRMED,https://boxborough-ma.gov/DocumentCenter/View/2138/MBTACommunitiesFAQ-FINALIteration101-11-22pdf,OK
707614a874,Boxborough,boxborough,MBTA adjacent,Select Board,,,,CONFIRMED,https://boxborough-ma.gov/DocumentCenter/View/2147/DHCD-Guidelines-for-MBTA-Communities-Boxborough-Presentation-Press-Releasepdf,OK
cd7dcdc4eb,Boxborough,boxborough,MBTA adjacent,Select Board,,,,CONFIRMED,https://boxborough-ma.gov/DocumentCenter/View/2148/MBTA-Communities-Draft-Multifamily-Guidelines_Boxborough-Presentationpdf,OK
fc26513638,Boxborough,boxborough,MBTA adjacent,Select Board,,,2022,CONFIRMED,https://boxborough-ma.gov/DocumentCenter/View/2139/MBTA-Communities_Summary-Deck-Feb-2022pdf,OK
862e1dbc14,Boxborough,boxborough,MBTA adjacent,Select Board,zoning,,,CONFIRMED,https://boxborough-ma.gov/DocumentCenter/View/2140/MBTA-Community-Multi-Family-Zoning-Finalpdf,OK
6bc38cea62,Boxford,boxford,MBTA adjacent,Select Board,,,,CONFIRMED,https://boxfordlibrary.org/DocumentCenter/View/1180,OK
b7ed69be57,Boxford,boxford,MBTA adjacent,Select Board,,,,CONFIRMED,https://ma-boxford.civicplus.com/542/MBTA-Communities-Law,OK
7370ecbc29,Boxford,boxford,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.boxfordma.gov/DocumentCenter/View/1180,OK
ba6d1da6f7,Boxford,boxford,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.boxfordma.gov/DocumentCenter/View/2636/11-MBTA-Communities-Update,OK
8a4d4c831c,Braintree,braintree,subway or light rail,City Council,zoning,,2023,CONFIRMED,https://www.braintreema.gov/DocumentCenter/View/12356,OK
c259501d79,Braintree,braintree,subway or light rail,City Council,zoning,,2023,CONFIRMED,https://www.braintreema.gov/DocumentCenter/View/12527,OK
41c85c695d,Braintree,braintree,subway or light rail,City Council,zoning,,2023,CONFIRMED,https://www.braintreema.gov/DocumentCenter/View/12528,OK
ccef26bb9c,Brockton,brockton,bus,City Council,,,,CONFIRMED,https://drive.google.com/uc?export=download&id=1FFuiQu8dBq5egdRMSExgIm91CxAj6rzz,OK
09807f379f,Brockton,brockton,bus,City Council,,,,CONFIRMED,https://drive.google.com/uc?export=download&id=1wJYz12F8N_oqSWaLDUaDjDB-x_9Yvll9,OK
35f78188ef,Brookline,brookline,subway or light rail,Select Board,,,,CONFIRMED,https://www.brooklinema.gov/DocumentCenter/View/32142/MBTACommunitiesInformationForm_Submission_959867238,OK
9cb07b739f,Brookline,brookline,subway or light rail,Select Board,,,,CONFIRMED,https://www.brooklinema.gov/DocumentCenter/View/32142/MBTACommunitiesInformationForm_Submission_959867238?bidId=,OK
6be8dd76db,Brookline,brookline,subway or light rail,Select Board,,,,CONFIRMED,https://www.brooklinema.gov/DocumentCenter/View/38300/DRAFT-EDAB-Memo---MBTA-Communities---1623-clean,OK
0ea6180729,Brookline,brookline,subway or light rail,Select Board,,,,CONFIRMED,https://www.brooklinema.gov/DocumentCenter/View/39393/ActionPlanforMBTACommunities_Submission_1058173804,OK
fb749e03ec,Brookline,brookline,subway or light rail,Select Board,,,,CONFIRMED,https://www.brooklinema.gov/DocumentCenter/View/40149/20230303-MBTA-Communities-Act-Noncompliance-FINAL,OK
a9a4433533,Brookline,brookline,subway or light rail,Select Board,,,,CONFIRMED,https://www.brooklinema.gov/DocumentCenter/View/41384/ARTICLE-24---Reso-MBTA-Communites,OK
2f111baf44,Burlington,burlington,bus,Select Board,,,,CONFIRMED,https://www.burlington.org/DocumentCenter/View/13669,OK
7392970f86,Burlington,burlington,bus,Select Board,,,,CONFIRMED,https://www.burlington.org/DocumentCenter/View/13681,OK
