municipality,year,confidence,container_kind,document_url,evidence
Great Barrington,2021,high,annual_report,https://www.townofgb.org/DocumentCenter/View/924,"heads=1,blanks=0,offices=10,tallies=831,yr=True,pp=63"
Great Barrington,2023,high,annual_report,https://www.townofgb.org/DocumentCenter/View/923,"heads=3,blanks=0,offices=9,tallies=840,yr=True,pp=66"
Hampden,2021,high,election_page,https://hampdenma.gov/274/Town-Meetings-Elections,"heads=11,blanks=0,offices=4,tallies=25,pp=0"
Hampden,2022,high,election_page,https://hampdenma.gov/274/Town-Meetings-Elections,"heads=11,blanks=0,offices=4,tallies=25,yr=False,pp=0"
Hampden,2023,high,election_page,https://hampdenma.gov/274/Town-Meetings-Elections,"heads=11,blanks=0,offices=4,tallies=25,yr=False,pp=0"
Hampden,2024,high,election_page,https://hampdenma.gov/274/Town-Meetings-Elections,"heads=11,blanks=0,offices=4,tallies=25,pp=0"
Hancock,2022,high,annual_report,https://town.hancock.ma.us/files/2023/04/OFFICIAL-TOWN-REPORT-FY2022.pdf,"heads=1,blanks=1,offices=10,tallies=531,yr=True,pp=44"
Hancock,2023,high,annual_report,https://town.hancock.ma.us/files/2023/04/OFFICIAL-TOWN-REPORT-FY2022.pdf,"heads=1,blanks=1,offices=10,tallies=531,yr=True,pp=44"
Hawley,2023,high,annual_report,https://townofhawley.com/wp-content/uploads/2023/09/2012-Hawley-Annual-Town-Report.pdf,"heads=2,blanks=0,offices=10,tallies=1446,yr=False,pp=95"
Hawley,2025,high,annual_report,https://townofhawley.com/wp-content/uploads/2025/04/Hawley-Town-Report-2024.pdf,"heads=4,blanks=1,offices=11,tallies=1361,yr=True,pp=105"
Heath,2021,high,annual_report,https://townofheath.org/news/newsfile_9143_2021HeathAnnualReport-web.pdf,"heads=1,blanks=0,offices=10,tallies=452,yr=True,pp=42"
Heath,2022,high,election_page,https://townofheath.org/p/19/Town-Clerk,"heads=2,blanks=0,offices=8,tallies=16,pp=0"
Heath,2024,high,townmtg_election,https://townofheath.org/files/2024_Local_Town_Elections.pdf,"heads=4,blanks=0,offices=6,tallies=30,yr=True,pp=2"
Hopkinton,2021,high,annual_report,https://ehop.org/wp/wp-content/uploads/2021/05/2020-ANNUAL-TOWN-REPORT-HOPKINTON-MA-WEB-sm.pdf,"heads=23,blanks=63,offices=9,tallies=3526,yr=True,pp=310"
Hopkinton,2023,high,annual_report,https://ehop.org/wp/wp-content/uploads/2023/04/Hopkinton-Annual-Town-Report-2022_sm.pdf,"heads=15,blanks=65,offices=9,tallies=2690,yr=True,pp=376"
Hubbardston,2021,medium,election_page,https://hubbardstonma.us/275/ElectionTown-Meeting-Information,"heads=24,blanks=0,offices=2,tallies=41,pp=0"
Lee,2023,high,election_page,https://lee.ma.us/174/Town-Clerk,"heads=5,blanks=0,offices=4,tallies=59,yr=True,pp=0"
Lee,2024,high,election_page,https://lee.ma.us/174/Town-Clerk,"heads=5,blanks=0,offices=4,tallies=59,yr=False,pp=0"
Lee,2025,high,election_page,https://lee.ma.us/174/Town-Clerk,"heads=5,blanks=0,offices=4,tallies=59,pp=0"
Lenox,2022,high,annual_report,https://townoflenox.com/DocumentCenter/View/375/Annual-Town-Report-2022,"heads=2,blanks=1,offices=9,tallies=918,yr=True,pp=84"
Lenox,2023,high,annual_report,https://townoflenox.com/DocumentCenter/View/376/Annual-Town-Report-2023,"heads=2,blanks=0,offices=9,tallies=901,yr=True,pp=89"
Lenox,2024,high,annual_report,https://townoflenox.com/DocumentCenter/View/377/Annual-Town-Report-2024,"heads=4,blanks=0,offices=9,tallies=427,yr=True,pp=70"
Lenox,2025,high,annual_report,https://townoflenox.com/DocumentCenter/View/3428/Annual-Town-Report-2025,"heads=1,blanks=1,offices=9,tallies=672,yr=True,pp=120"
Leyden,2021,high,election_page,https://townofleyden.com/p/111/Voting-and-Elections,"heads=4,blanks=0,offices=9,tallies=20,pp=0"
Leyden,2022,high,annual_report,https://townofleyden.com/files/2022_Annual_Town_Report.pdf,"heads=4,blanks=0,offices=10,tallies=814,yr=True,pp=107"
Ludlow,2021,high,annual_report,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2021-Annual-Town-Report.pdf,"heads=4,blanks=0,offices=10,tallies=1640,yr=True,pp=138"
Marion,2021,medium,election_page,https://marionma.gov/272/Town-Meeting-Election-Information,"heads=1,blanks=0,offices=2,tallies=24,pp=0"
Marion,2022,medium,election_page,https://marionma.gov/272/Town-Meeting-Election-Information,"heads=1,blanks=0,offices=2,tallies=24,pp=0"
Marion,2023,high,annual_report,https://marionma.gov/DocumentCenter/View/1157,"heads=4,blanks=8,offices=9,tallies=5678,yr=True,pp=240"
Mashpee,2022,high,annual_report,https://mashpeema.gov/DocumentCenter/View/1282/2022-Annual-Report,"heads=2,blanks=104,offices=11,tallies=3164,yr=True,pp=189"
Mashpee,2023,high,annual_report,https://mashpeema.gov/DocumentCenter/View/1283/2023-Annual-Report,"heads=7,blanks=10,offices=11,tallies=2954,yr=True,pp=188"
Mendon,2021,high,annual_report,https://mendonma.gov/DocumentCenter/View/181/2021-Annual-Town-Report,"heads=9,blanks=15,offices=11,tallies=2118,yr=True,pp=226"
Mendon,2024,high,annual_report,https://www.mendonma.gov/DocumentCenter/View/851/2024-Annual-Town-Report,"heads=7,blanks=48,offices=8,tallies=1691,yr=True,pp=613"
Mendon,2025,high,annual_report,https://mendonma.gov/DocumentCenter/View/1528/2025--Annual-Town-Report,"heads=11,blanks=14,offices=10,tallies=1690,yr=True,pp=232"
Middlefield,2021,high,election_page,https://middlefield-ma.gov/230/Town-Clerk,"heads=2,blanks=0,offices=4,tallies=8,yr=False,pp=0"
Middlefield,2022,high,election_page,https://middlefield-ma.gov/230/Town-Clerk,"heads=2,blanks=0,offices=4,tallies=8,yr=False,pp=0"
Middlefield,2025,high,election_page,https://middlefield-ma.gov/230/Town-Clerk,"heads=2,blanks=0,offices=4,tallies=8,yr=False,pp=0"
Millbury,2022,high,annual_report,https://millburyma.gov/DocumentCenter/View/1817/Annual-Town-Report---FY-2022,"heads=4,blanks=0,offices=10,tallies=1890,yr=True,pp=135"
Millbury,2023,high,annual_report,https://millburyma.gov/DocumentCenter/View/1818/Annual-Town-Report---FY-2023,"heads=4,blanks=0,offices=11,tallies=1064,yr=True,pp=132"
Montgomery,2022,high,election_page,https://montgomeryma.gov/2023/03/town-clerk-notice/,"heads=1,blanks=0,offices=6,tallies=9,yr=False,pp=0"
Mount Washington,2021,high,election_page,https://mountwashington-ma.gov/departments/town-clerk/,"heads=1,blanks=0,offices=10,tallies=13,yr=False,pp=0"
