town,town_norm,community_type,governing_body,board,doctype,year,verdict,url,npages,topic_pages,textfile,status,chars
Marblehead,marblehead,bus,,,,2025,CONFIRMED,https://marbleheadma.gov/wp-content/uploads/2025/03/mbta_communities_-_public_presentation.pdf.pdf,24,"1,3,19,20",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\marblehead__50aea912f017.txt,OK,3616
Marblehead,marblehead,bus,,,,2025,CONFIRMED,https://marbleheadma.gov/wp-content/uploads/2025/04/MBTA-Communities-3A-Compliance.pdf,24,"1,3,19,20",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\marblehead__6399e4708f7b.txt,OK,3616
Marshfield,marshfield,MBTA adjacent,,select_board,,,CONFIRMED,https://marshfield-ma.gov/government/select_board/mbta_communities_act_information.php,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\marshfield__3381050f2c8c.txt,OK,15686
Maynard,maynard,MBTA adjacent,,town_meeting,minutes,2024,CONFIRMED,https://townofmaynard-ma.gov/DocumentCenter/View/3037/Official-Minutes-of-ATM-5-20-2024,57,"41,45,46,47",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\maynard__a07a9b711776.txt,OK,18172
Medfield,medfield,MBTA adjacent,,,,2023,CONFIRMED,https://town.medfield.net/DocumentCenter/View/6767/Action-Plan-for-MBTA-Communities-01-17-23-Submission-pdf,5,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\medfield__aee66059ebd1.txt,OK,6934
Medfield,medfield,MBTA adjacent,,zoning,,,CONFIRMED,https://town.medfield.net/2178/MBTA-Communities-Multi-Family-Zoning-Req,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\medfield__709985b85063.txt,OK,13880
Medway,medway,MBTA adjacent,,,notice,,CONFIRMED,https://medwayma.gov/news-and-notices/have-you-heard-of-the-mbta-communities-law,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\medway__d54b9d344c8c.txt,OK,8176
Medway,medway,MBTA adjacent,,,notice,,CONFIRMED,https://medwayma.gov/news-and-notices/mbta-communities-law-compliance-in-medway-barrett-planning-group-presentation,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\medway__a544330b1ef2.txt,OK,7768
Medway,medway,MBTA adjacent,,,notice,,CONFIRMED,https://medwayma.gov/news-and-notices/mbta-communities-law-pedb-special-meeting-862024-2,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\medway__9135748b18c3.txt,OK,9421
Medway,medway,MBTA adjacent,,,notice,,CONFIRMED,https://medwayma.gov/news-and-notices/mbta-communities-public-information-flyer,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\medway__222eff625ff5.txt,OK,7619
Melrose,melrose,subway or light rail,,,,,CONFIRMED,https://www.cityofmelrose.org/DocumentCenter/View/2647/MBTA-Communities-Compliance-Letter,3,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\melrose__fb9c04a53b6c.txt,OK,6052
Merrimac,merrimac,MBTA adjacent,,,,,CONFIRMED,https://townofmerrimac.com/event/mbta-communities-workshop-with-mvpc/,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\merrimac__0191a3a83af7.txt,OK,23665
Merrimac,merrimac,MBTA adjacent,,,bylaw,,CONFIRMED,https://townofmerrimac.com/event/mbta-communities-by-law-meeting/,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\merrimac__a2e80430c778.txt,OK,24126
Methuen,methuen,MBTA adjacent,,zoning,,,CONFIRMED,https://cityofmethuen.net/838/MBTA-Communities-Multi-Family-Zoning,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\methuen__7b1d93f74751.txt,OK,12797
